comment,labeling
빗히트나 방탄멤버들 입에서 군면제 해달라고 한적이 단 한번도 없다 주접나부랭이 국회의원 잡것들이 방탄 유명세 이용해서 괜히 들먹이더니 기사 제목도 졸 꼴베기싫게 뽑았네,0
방탄 빠는 여자들도 군대 가자 나라를 위해 여자도 군대가는 이스라엘이랑 비교해서 마안한데 ..... 비교할게 미안,0
국익기여로 면제받는다면 일반인은 국익기여 못해서 벌받으러 군대가는거냐? 군대 안가본 것들은 입 처닫아.,0
이런상황에 나갱원은 또 어디로 빤스런햇노??,0
"존나 빨리 바뀌네,, 올 봄에 s10바꿨는데 벌써 11나온다고??",0
작무새 엣무새가 아무리 지껄여봐야 안팔리니까 안내는거죠^^,0
강간남북도 변태들 좋겠다...여자 빤쭈 찍어서 맘대로 확대해 변태짓 할거니까.,0
갤럭시는 디자인이 너무 멋대가리가없음 그냥 공산품느낌 안드로이드도 안이쁘고.. 근10년간 안바꾸는 후줄근한 바탕화면 .. 진짜 노땅느낌폼,0
진짜 별 그지 같은 선생 다 보네,0
이새끼 대가리는 비었음,0
김제동 같은 못배운 중졸 새기야 광화문 집회나 참석해 못배운 새기,0
OOO같은남자놈이 마누라가 그만할때 그만하지. 발정난OOO마냥. 마누라한테. 눈속임하면서. 거짓말하고.연기하면서. !!!쪽팔지않냐? 아무리아랫도리가 뻐긋해도. 정부.상간녀가.불륜이 왠말이냐?? 둘년놈이 말말춰놓고. 헤어지는척해놓고. 또 붙어먹냐?? 스폰서하냐? 번호사를 왜 회사변호사 쓰냐??OOO이네. 이새끼도.홍씨행동하겠네 .우리사랑하게해주세요!!라고그럼 매장시켜야지!!!OOO은 방송정지시키고. OOO은투자못받게!!!!.OOO은이쁘척.잘난척. 하더니. 상간녀타이틀이 왠말이냐! 그냥남자애랫도리 받이하는거지,0
인신공격은 안하고싶은데.. 고집 진짜 세게 생김. 남자도 등신같고.,0
크보 신발련드라 관중 타령하지말고 심판좀 어떻게 해봐라,0
살을빼건 고치건 진짜 혐오스러운 쌍판이다,0
작가야 진짜 ㅈ ㅣ럴도 가지가지다..막바지에 꼭 이딴식으로 해야했니??,0
이.ㅂㅅ 같은 드라마는 언제 끝나냐?그리고 폐지좀 하면 안되냐...10년이 넘게.드라마가 몇개나 바꿨는데 1화만 보면 무슨내용인지 다암..,0
작가 ㅅ1벨 ㅋㅋㅋㅋㅋ 금희한테 왜 그러냐.. 한준호 한테 이혼 당하고 여름이 뺏길뻔 했다가 가까스로 지키고 여름이 친아빠 상원이 만나서 이제 행복해질일만 남았는데.. 머 갑자기 뜬금없이 급성 백혈병...? 장난하냐 진짜로..,0
"지x하고 자빠졌네ㅂ,ㅅ년들이ㅡㅡ좀 기사화 하지마기레기 ㅂ,ㅅ들아",0
지 새끼들 욕 먹이는것도 다 부모하기 나름인데...그걸 모르는건지 뭔지...,0
에라 이 ㄱㅈ같은ㅅㄲ!,0
악플 ㅅㄲ들은 멋도모르고 나불대기는 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 하루빨리 니들이잡혀가길 바랄뿐이다 ㅋㅋㅋㅋ,0
거 ㅅㅂ 지디가 군생활 개판으로 했건말건 가준것만으러도 감사히 생각할것이지 말들이 많냐 니들은 군생활 제대로 했냐?? 능력도 없는 하루살이같은것들 ㅉㅉ,0
이새기 승리아니면 부적합판정으로 나오려고 그림그리고 잇엇는데 ㅋㅋ승리가 터져서 ㅋㅋㅋ군생활 완전 개판으로 초관심병사엿다며 ㅋㅋ전부열외받고,0
기자들 때메요즘 연예가 소식이 개판된건 사실이지 ㅆㅃ~~!!!!!! 기사올리기전에 더자세히 분석하고해석해서올리던지 이건무슨 기사제목부터가 날조 욕드세요~~~라고 써져있잖아 ㅋㅋㅋㅋㅋㅋ이러니 기자들 온갖 기획사마다의 니들이욕먹는거야~~~~날조 기사맘대로쓰다가 기사삭제된것도 몇개나되냐????? ㅋㅋㅋㅋㅋㅋ,0
야 너 기어나오지마라 어서 나오려고 미틴 뇨마,0
ㅋㅋㅋㅋ 약쟁이 ㅈㄹ한다 니몫까지 승리한테 터진거지 승리가저정도면 니ㅅH낀 얼마나더하겠냐 그나저나 군생활도 ㅆㄹㄱ처럼했다지?,0
이새기 휴가 막쓴건 벌써 잊었냐 개돼지들아,0
기자 좀 더럽네 ㅋㅋㅋㅋㅋㅋ 날조하네????재수없게???승리의 달콤한맛???? 어그로끄는 기사오지게도 하네그래서 요즘 연예가가 ㅂㅅ된거야 ㅋㅋㅋ기자들 날조때메 ㅅㅂ!!!그냥 ㅅㅂ 욕먹일려고 온갖수단다부리네 기자들이 돌았다 ㅋㅋㅋㅋ 기자들도 조사받았으면좋긋네,0
미저리 ㅅ ㅣ ㄲㅣ들,0
폭망 아티스트 빠순이들 ㅂㅈ났네그래서 여기다 ㅂㄱ하시고,0
"뺑끼써서 병원에있다 전역한 그 지디?ㅋㅋㅋㅋ 범죄자 그룹리더답네. 풉 ..무슨 범죄자들 영화찍나?각분야 좃문가들만 모아놓은 그룹리던게 자랑이냐? 약쟁이, 성매매, 종합선물셋트.. 태양만 피보네ㅋㅋ 태양도 까면 머 나올까?",0
댓글에서 왜케 쉰내나나했더니 상폐녀모임이네 ㄷ,0
외곡된기사만믿는 머리가ㄸ 구멍에 붙어서,0
"승리의 달콤함, 나는 너를 사랑한다... 이세이 이게 말이야 글이야. 도대체 아직까지 정신못차리고 이러고잇네.ㅎㅎㅎ 승리 지디 탑 대성 너네들 대중들이 시간지나면 다 잊어버리는 개대지로 생각하고잇겟지..아 요세이들봐라, 징그럽게 싫어진다..ㅎㅎㅎ 일본에서 돈좀 벌엇다고 눈ㄲ ㅏ릐에 보이는게 없지.... 아치들이 돈좀벌면 월래 눈에 보이는게 없어진다..그래서 졸부라고하지.. 쫄때기 시키들아 너네들은 돌아오지마라...안봐도 되고 보기도 싫다.... ㅎㅎㅎㅎ",0
이 뽕쟁이섹히 또 나오면 죽여버린다,0
에이 지랄 기레기야,0
빙신 지랄하고 있네,0
에휴 머리 뭐만 가득찼어 기자년이란게,0
잠잠하다 했더니 제대할때 되닌깐 기레기 또 나대기 시작하네 그만 괴롭혀라 토나온다 기레기ㅅㄲ야,0
아직도 빅뱅을 빠는 뇌없는 벌레뇬들이 있다는것이 놀라울 따름이다. ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ㅈㄴ 빻았네 ㅋㅋㅋ,0
턱 뭐고 시바... 빗살무니 토기가,0
스모선수가 턱돌이 된건가?? 초고도비만에서 그냥 고도비만된걸 무슨 정상인 될라면 최소 40키로는 빼야돼 요요도 감안해야지 유지가 더 힘들다 ㅆ ㅣㅂ 들은 20키로 빼는것도 쉽고 빼도 돼지야,0
댓이나 닫고 씨부려라,0
편파해설에 그렇게 크보에서도 밀어줬는데 심판도 쥐심판이고 그런데도 탈락하는 류시는 덕장인가 돌대가리 감독인가... 주둥이만 털줄알지 감독은커녕 용더칸처럼 고등코치수준벆에 안되는것들이 용더캉느 감독이 수염안기르니 지도 깍어야했고 화나가더니 아주 과관이더라 무슨 노숙자도 아니고.. 화나는 용더칸부터 짤나라 재수없는 용더칸,0
주접싸고 있네 야 설리는 죽었는데 도대체 누구한테 지껄이는거야? 정신병자들 존나 많네,0
홍석천은 동성애로 항문성교 하고사는..변태성욕자일 뿐이다.,0
벌레같은 네 엄마와 모든엄마가 같다고 생각 마. 네 엄마만 맘충이니 복수형은 안되지,0
좇같이생긴 OOO야 막말안하면 안그래도작은고추가 똑 떨어지냐? 6.9소추 역겨운새끼들 살인충들 투신재기해라,0
한남충들 어그로 존나 끄네 정신병자 ㅅㄲ 설리 예은 얼마전까지도 실컷 욕했지 ㅉㅉ 악플러중에 도태남이나 애비충들이 대다수지 뭐 똥차같은 놈들,0
개맘충년들. 애똥이나 쳐먹어라,0
sm도 책임 피할 수 없겠지 악플러들이 sm가수들은 적폐소리 하면서 개패듯 패는 이유가 뭐겠음 소속사에서 악플은 셀럽으로서 겪어야할 과정인거마냥 봐주고 소극적으로 나오니까 그냥 기사만 뜨면 몰려와서 비난하고 패던거 스포츠수준 아니었음?,0
매퇘지 불땅해 ㅠ_ㅠ,0
인간걸래들이 득실거린 자한당 아무리 빨아도걸래당에 걸래인간들은 변하지 않는다,0
참새가 어찌 봉황의 큰 뜻을 알리요?대갈빠리엔 똥들만 가득찬 광견들인걸...ㅋㅋㅋ 적책도 전략도 없는 꼴통집단 총선 핝일전 추풍낙엽 되어 일본으로 다 쓸려갈텐데 그때까지만 잘 즐겨라~ㅍㅎㅎ,0
좌파들.개거품물고.댑글다네.월래.돼지도죽을적에.소리무척질러돼지.머잘했다고.니들수령북돼지도.요새별로고.머되는게있나.좌파들.서서히.저물어가는.해와갓네,0
빅뱅팬들 참 웃기네.. 남자만 욕할거라는 착각을 단단히 하고있어 아주ㅋㅋㅋㅋ미쳐도 뭔 저런 볼만한 쌍판도 없는 버닝썬그룹에 미쳐서는ㅉㅉ,0
"진짜 애는 군생활 휴가, 훈련,복무실태 등조사해볼 필요가 있는거 같다. 싸이처럼.ㅅㅂ 저게 무슨 나라지키는 군인자세냐,,양아치ㅅㄲ지. 마약으로 말도 많고 팀원은 버닝썬등으로 나라를 뒤흔들어 놓고죄송하단 말한마디 없이 본업에 열심히 임하겠다? 그리고 이 모습을 보고 환호하는 개돼지 개념없는 년들아.. 니들때문에 나라의 근본이 흔들린다",0
마자요 저기모인 정신나간 ㄴ들 주머니돈으로 마약빨고 도박하고 성접대하고 그래도 정신못차리는 멍청한ㄴ들,0
충//비영싀나 바로윗사람이 이상한새끼여봤자 소드처럼 찌르는 놈이 상OOO이면 그냥 웃음거리고 아무도 신경안쓰고 찌른놈만 바로 아웃이지. 예를 들어도 개ㅈ같이드는구나. 뇌가 없냐?,0
ㅅㅂ 그만큼 못했다는건데 진지빨고 그건 좀.. ㅇㅈㄹ,0
도란 안나오면 ㅅㅂ 그냥 그리핀 해체해라 ㅈ규남 OOO야,0
조씨만 까라 새끼들아 선수들 욕하는건 니들도 그들처럼 똑같은 짓 하는거야 전후사정없이 이미 피해입은 선수들한테 2차가해 가하는거라고,0
Kt처럼 경기전 발표해서 타팀 분위기 개씹.창낸거보다 롯데 대처가 훨씬 나은데,0
기자 ㅅ 키 야구팬들을 핫바지로 보나. 어떡하든 깔라고 눈이 뻘개가지고 달려드는 좀비 ㅅ 키들 같다. 기자충들은 당장 명함 찢어버려라. 쪽팔리지도 않더냐. 퉤,0
특종 놓치니 ㅈㄹ 임 이 기래기들은 ㅋㅋㅋ,0
이새낀 갈수롯 유인원이 되가노ㄷㄷ,0
남자 연예인들 성범죄 의심만 들어도 얼굴공개하며 난리치면서 왜 여배우는 꽁꽁 숨겨줘? 이런 범죄를 저질렀는데도 여자니까 보호해 줘야 하나? 왜? 그래도 시집은 보내야 해서? ㅈㄹ,0
니들양@아@치새@끼들이 오토바이타고 다니면서 길쳐막고 우르르다니면서 행패부린게 니들이다 뭘알고 상관이냐 지껄이냐 OOO,0
레깅스입고 돌아다니는 여자들 중 정상적인 여자 별로 없음. 대부분 빡대가리들임.,0
자전거나 마라톤하는 남자들 타이즈 입는거갖고 포춘쿠키니 뭐니 하면서 불쾌하다고 ㅈㄹㅈㄹ하는 여자들은 어디갔나요. 오늘도 여로남불! 남자가 핫팬츠를 입든지 말든지 그걸 또 찍어서 인터넷에 올려 조리돌림하는 그 성별!,0
난 레깅스 입고다니면 어때했는데 밥먹으러갓다 블라우스에 레깅스입고잇는여자 지혼자 자신감 쩌는여자를보고 생각했다. 미ㅡ췬.년 진짜 흉측하더라,0
저새낀 박찬주한테 존나 처맞아야함 ㅋㅋ,0
똥립운동중입니다~~ 똥립운동,0
떵꼬충들 박멸시켜라,0
"두드러기 인간과 똥검의 합작, 조원천 소환하면 황교활 낙동강 오리알.",0
저런 기본 의무조차도 이행하지 않는 거지같은 게이새끼들이 나서서 나라를 유린하는데도먹히는 세상이라니ㅋㅋㅋㅋㅋㅋ,0
쌍빤때기 더럽게 생겨 먹었네 ㅡㅡ얼빠진것들,0
문재앙 정권에서나 벌어지는 더럽고 추잡한 현상! 저 동성연애하는 새캬가 군인권센터소장이란다! 항문성교하라고 군대에 전파하는 새캬 아니야? 아 추접스런 정권!,0
그래도 제정신 가지신 정상적인 여성분들 덕분에 세상이 굴러간다. 암퇘지 워마드만 보다가 정상적인 여성분을 보니 참으로 반갑구만,0
같은 여자가 봐도 이해가 안된다는데 남자가 보면 어떤 생각들겠냐 인도보다 대한민국이 여성평등지수 낮다고 생각하는 자칭 페미 정신나간 년님들아?,0
"지디 고생했다. 갔다왔는데도 지라알들 ㅉ 안가도 욕, 가도욕! 쫌생이들.",0
관심을주지마 개돼지되는거임 ㅋ ㅈㄴ 마약에 특혜에 ㅉ,0
이자식이랑 같은 부대 병사들은 얼마나 ㅈ 같았을까..캠프도 못 받겠다고 징징거리던 생퀸데,0
미친거아님?ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
그래도 얘는 군대라도 다녀왔지 ㅅㅂ 군대안가고 이빨 쳐 뺀 원숭이새끼는 군대도 안가고 노래만 쳐 내는데 얘라고 못낼까?,0
"담배꽁초는 바다로 흘러드는 미세플라스틱 [오염원] 중[가장 높은 비율]을 차지한다. 꽁초를 분해해 퇴비로 바꾸는 업체와 계약해 퇴비 제작까지 하는 이유다 싫어요 누르는 병ㅅ = 무뇌아, 에비 에미 칼로 쑤셔가 육회 떠먹고 뼈로 사골 끓여먹고 고증조 할매 할배 장기 기름에 튀겨가 먹고 똥오줌 싸가 그 똥오줌 온 몸에 바르고 육갑 댄스 추다가 국회에 들어가가 전 미ㅊ 식인 패륜아에요 저를 노예개ㅅㄲ로 취업시켜주세요 라고 애걸복걸하다 자한당한테 강간 당하면서 '다메 이따이데스' 이래 개발광하다가 갑똥정액존물 쏟으며 뒤질 인격저능애자새ㄲㅋ",0
ㅗ,0
마시케타,0
전에 지하철에서 방탄 콘서트한다고 아미들 떼거지로 몰려가는거 봤는데 하나같이 존나 못생기고 뚱뚱하고 안경끼고 안씻은거같은 ㅎㅌㅊ년들이었음 ㅋㅋ,0
정신 나간 뇬들이 득실득실 하겠군,0
ㅈㄹ도 병이다겁내 시끄럽게 갔다와서 온 갖 똥폼...에휴 우울증도 있어보인다,0
유촉새야 ! 니말대로 조국씨 키 정말 나쁜뇸이다 . 그래서 깜빵가야된다,0
미친,0
택시기사분 분신자살까지 했는데 문가시OOO 타다적폐노무시키,0
[속보] 문재앙 ㅇH미 지옥불에 떨어져 영원히 불타는 뼛가루 되어 온동네 잔치를 벌이며 환호소리가 전국을 뒤덮어~♡,0
느그 엄마 장례식 방명록에 ‘고맙다’ 라고 적을 인간은 없을거다. 엄마잃은 문재앙 니새끼에게 실실 쪼개며 쿡쿡 찌를 인간도 없겠지. 망연자실한 너한테 짜장면 한그릇 하고싶은 소망 없냐고 물을 사이코패스도 없을거다. 느금마 명복을 빈다. 거기서 3년상 치르고 서울은 오지마라.,0
돼지 새. 끼들.....,0
문죄인 씹 새끼 네 놈은 북칸의 행태를 어떻게 보냐?,0
싸고도 남지 10연발도 가능,0
"무죄면 모를까, 유죄인정인데 고위공직자와 작당한 죄가 겨우 1년이냐? 18. 내가 1년 살테니, 우리애들도 거기 취업 안될까?",0
ㅁㅊ 민규가 할때는 얼빡으로 샷잡더니 아이린이 할때 왜 몸에서 카메라 멈추냐 카캄 ㅈㄴ 더러워,0
개돼지 인증한셈이네.. 욕은욕대로 하지만 음원은 나날이 고공행진.. 하 쪽팔리다,0
13살차이네~ 아빠뻘이라고 악플달던 쿵쾅이 개돼지녀ㄴ들~ 갈아서 퇴비로 써야 함,0
발치몽 피쳐링참여 꺼져라 개념없는 년,0
예수회 악마새끼들 ^^,0
이유비한테 악플을 왜달지?? 부모도 훌륭하시고 이유비 자체도 올바른 배우의 길을 걷는데. 얼평몸평은 아니지만 이유비 반만 닮아봐라. 이 악플러 새기들아!,0
다 고소해서 콩밥 쳐먹였으면,0
"82년생 쿵쾅 상.꼴.폐.미들아.. 저 여자가 니들보다 얼굴 , 몸매가 딸리겠냐, 머리가 딸리겠냐, 능력, 집안, 학벌이 딸리겠냐.. 그런 여자가 판단해서 결혼하는데.. 열등감 부들거리면서 누가 아깝니 키보드 두들겨대면, 기분이라도 좀 나아지냐 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 나가서 운동이라도 해 ㅋㅋㅋ",0
찌질년들 건모형 행동보고 저러니 장가 못가지..이러다 이정도 여자 만나서 가니까 부들부들 거리네..ㅋㅋ주제 파악들 하자..,0
"문제를 또 의사로 몰아가는 이 나라는 진짜 답이 없네 , 애초 거짓으로 수술 강행한 딸년 애미부터 사기꾼이고 의사랑 사이 좋지 않았다고 모든 다른 간호사들이 하나같이 진술한 그 간호조무사 한명 말 듣고 목숨 살리는 의사를 무조건 다 죽이고 매도하는 국민정서는
진짜 이해할 수가 없다",0
의사들도 그냥 낙태 해주지 마라. 싸지른 새끼들 책임이지 왜 의사까지 피해를 보나...,0
"그런새끼들 먹이고 입히고 재우는거 다 세금. 
",0
"동의합니다 10년도 짧아요 저런 놈 밑에서 태어난 것도 억울한데 지금부터라도 얘들이 즐겁게 살아야죠 저런 시키는 사형 부활해야합니다 
",0
"이런 ㅂ..신들이 있는 한 나라가 이렇게 개판임. 지금 아들 딸 찾을 때냐? 하여튼 ㄱ ㅐ 뇌병,신들이 허구언날 뭐만 나오면 남여나눠서 징징거려.시,,ㅂ 색히들 사회분위기 개 ㅈ같이 만드는 쓰레기 분자색히들",0
보빨놈은 물러가라.개 새끼야,0
"한심한 막장 프로불편러 네놈이나 꺼져라.
너같은 놈 차단할 수 있다면 차단박고 싶네.
여기서 남녀를 가릴때냐? 미자 성폭행 자체가 문제지",0
/ 사실을 이야기 하니까 양심이 찔리냐.? 미친 년이 개 지랄이네..,0
"뭐가 사실이야ㅡㅡ
한심한 또라이 놈이:)
정신병원에 좀 가봐라.
인생 그렇게 사는거 참 한심...",0
사람새11끼냐 ?? 눈을의심했다,0
진짜 미친새끼들많네 지 딸이 여자로 보이나 저런새기가 개과천선의 여지가 있나? 불알을 짤라버려서 성욕이 안생기게 하는 방법 밖에 없다고 생각한다,0
와...아무리 성욕이 일어나도;; 자식인데..;; 친딸인데;; 그것도 7살;;; ...옥살이 평생했으면 좋겠다;; 성범죄 이르키는 새끼들 다 죽어야해;; 망상과 현실 구분못하거나 그저 자제심 부족한애들...왜 사는지;;,0
징역은 무슨 사지를 찟어발겨 죽여도 시원찬음,0
아동관련 성범죄는 진짜 한번 맛들리면 계속 한다고한다.ㅅㅂ 보는 색 기 만든 색기 진짜 그냥 좀 죽여라,0
양 전 대표와 승리가 불법적인 방법으로 자금을 마련한 정황은 포착하지 못했다며가 아니고 안하거지 븅들아,0
돈다뺏고 불우이웃 기금 으로 사용하고 두놈다 사회봉사 시켜라. 땃땅땅. 국민의 목소리다,0
외쿡에서 도박하는게 큰죄라는게 좀 웃긴다. 솔까 더 큰죄진넘들은 떵떵거리니,0
양아치 ㅅㄲ들,0
팩트는 본인들 돈으로 도박 환치기 햇다 ㅋㅋㅋ머가문제~???????? 벌금형이 끝인거고 얼마전 4국에 국세청에서 죽음의조100명 추징금조사에서도 타기획사보다 ㅈㄴ 깨끗하게나온걸로 밝혀진거고 성접대는 하지도않았는데 기사가 ㅈㄴ게 접대한것처럼꾸며진거고 ~ ㅈㄴ게 조사했는데도 무협의나왔다고 기사나오는데 여기있는댓글 부정한 놈들은 머임???? ㅋㅋㅋㅋ 어떻하라는겨?ㅋㅋㅋㅋ,0
라스베가스 못가니? ㅅ8 세계 어느 나라에서 도박으로 처벌하니? 나라가 국민을 개돼지로 보니 도박도 통제못하는 OOO으로 보는거다 이 개돼지새기들아. 강원랜드에서 가산 탕진하고 자살하는건 또 뭐라안해요 도박장운영하는 국가에서ㅋ,0
승리는 왜? 자꾸 불구속 조사만 받냐구 자한당아 이 ㅅ ㅂ 놈들아,0
얘네 둘 안 죽냐...? ㅋㅋㅋㅋㅋ 하긴 이런ㅅㄲ들이 바퀴벌레같이 ㅈㄴ 오래살듯 부럽다 씁할람들아,0
난 또 한 20살 차이나는줄? 여자도 39이면 상폐구만,0
여자도 남 부러울것 없는 조건이구만 도대체 왜?갈거면 좋은 남자 만나려고 공부했냐는 소리 듣게 좋은 남자 만나지 왜 김건모 같은 남자를?이건 여자 엘리트들단체로 엿먹이는 짓이지 ㅠㅠ,0
에~라cㅍ~,0
김건모 장지연 계탔고 장지연이아까움 최필립 미나 둘이 너무 잘어울림 메갈들의 이중성,0
왜 남의 부인 신상 털고 다니냐 줜나 할일없네,0
아니 일반인을 이렇게 올려버리면 어쩜??? 저 분 생각은안해주나? 기레기ㄴ아,0
김건모가 노래를 못한다고? 미친새1낀가 진짜,0
"이년 
존~시~나 
정치적으로 낚시질 엄청해대네 
계상인지 괴상인지놀다가, 다른놈하고 사진찍으며 관심좀끌었다가 
다시 괴상이라고 진알을 하는데 
삼촌이 위기일때마다 나타나서, 진알을 해 아주그냥 
관심없어 이년아",0
"닝기미 만나든가 말던가 

꼴리는대로지 머이 이딴걸 기사라고내냐 기레기야 

관심 없어",0
중국몽 꾸는 또라이가 청와대에 있으니 나라 꼴이 말이 아니네,0
잔인한년이 쇼도잘하네. 저런독한년들 많더라고,0
"이 ㅈㄹ인데 정시 확대 반대에 , 수능 서술형 도입?? 머리가 장식인가",0
좃국을 지지?? 골수 민주당!,0
다잡아 족쳐라 이것만 잡아도 너네 까는애들 없다숙명여고 쌍둥이 같은애들한 둘이였겠냐?,0
기사로 봐서는 c d 가 많이 잘못했네 ab는 무죄가 맞다 c 넘은 주먹이 꼴리나본데 나한테보내주라 아주 개박살 아작을내서 목숨만 살려줄테니 목아지를 확,0
여자의 사랑받는 아이돌이면서 여자들 등처먹는 직업인 포주시키 ㅋㅋㅋ본인건물에 성매매하는지 몰랐다고? ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ사람 칼로 찌르고 죽을지 몰랐다고 하는거랑 뭐랑 다르냐 모르면 그냥 장땡이지 ㅋㅋㅋ,0
웃기냐 대성아? 조사받고 깜방이나 쳐가라 역겹다 그냥,0
불쌍한 태양ㅠㅠ 멤버 새키들 사고치고다닐때 사건사고 하나 없는 태양.. 그저 빛,0
미쳤다 .대성 아직도 팬있다는게 어이없음.쳐웃고있네 웃음이나오나,0
남자냐? 여자냐? 이두대가리야니 인격에 신경을 많이써야할듯하네니가 더걱정된다 열올리고잇냐왜그리 ㅂㅅㅇ,0
닥쳐.,0
추천 누르라는 글 쓴넘 가족 올해 토막나서 디짐 ㅋㅋㅋ,0
"제 정신 아닌듯 왜이러고 살지??,",0
얼굴 예쁘니까 발가락도 이뻐 보이지 뷰웅~ 야한 발가락이 어딨냐? 좀 있으면 발가락 사이 때도 야하다하겠네,0
댓글보니 미친사람들이 참 많어..네이버도 댓글좀 없애라,0
ㅈㄹ을한다,0
ㅇㅈ 저번에도 켄드릭라마가 압도적으로 상받아야 했지않나 ㅋㅋ 근데 흑인이라고 하나도안주더라 ㅋㅋㅁㅊ,0
ㅋㅋㅋㅋ 아이돌 씹덕의 또 방구석 여포질 시작됏네 ㅋㅋㅋㅋ 누가 그래미에 쓰레기같은 아이돌 춤자랑 노래를 올리겟냐 ㅋㅋ,0
씹재앙 빨갱이 보유국 애들을 미쳤다고 너주겠냐,0
이런말 한다는거 부터가 이미 아쉬운티 ㅈㄴ 내는거,0
ㅗㅗ,0
기자 새끼들 글쓴거 보면 . 연예인들 악성글은 지들이 다 쓰고 다니면서 아닌척 하긴.. 공식적인 악성댓글러들임!!!굳이 지금 아이까지 낳고 사는 부부이거늘 과거의 이혼을 왜 꺼내냐? 니들 과거 까발리면 기분 좋겟다? 그 가족들도 엄청 기뻐하겠지?? 좋은글 이쁜글 이런거 쓰자!!! 이상한짓하고 나쁜짓거리는 하는 연예인들은 과거 팍팍 까발려도 된다!!,0
나이가지고 이렇게까지ㅈㄹ하는건 한국여자들밖에없지 ㅋㅋㅋ 근데 또 미나 함소원 커플에는 박수치고 연하남 드라마에 열광하는 이중성 ㅋㅋㅋ 그냥 지들은 현실에서 판타지가 충족안되니까 떼쓰고 열폭하는걸로 ㅎㅎㅎ,0
남의 커플에 지적질 시어머니질하는 이기적이고 찌질하고 속좁은ㅋ일부ㅋ한국여자들 ㅋㅋㅋ 또 일부 안붙히면 여혐 타령하면서 페미 부들 페미 발작함 ㅋ,0
