comment,labeling
인신공격은 안하고싶은데.. 고집 진짜 세게 생김. 남자도 등신같고.,1
남친월급370받던회사.지금하는꼬라지보니 370못받앗을꺼같은데?ㅋㅋㅋㅋㅋ저 금강역사처럼생긴 여사장보다 남친이 더가관임ㅎ,0
내 자식이 여자에 미쳐서 다니던직장 때려치고 저런다고하면 바로 연끊고 내보낸다. 어휴 정신나간놈,0
고집쎄고 못됐게 생겨갖고..,1
개념없는 저런 년이 사장이라고..아오 빡쳐 300을 넘게 받던 저 모자란 놈은 왜 굳이 저기가서 저러고있는지...아이고 모질아,0
이혼하면 인스타도 올리지말아야함? 신발광고라서 저것도 일의 일부인데 송중기는 드라마 영화 잘만 찍던데 남자한테는 참관대하고 송혜교는 일도 하면 안됨?,1
"악성댓글을 남기는 사람들은 실생활에서 사회성이 떨어지는 사회 부적응자들일 가능성이 높으며, 악성댓글은 그들의 유일한 표현수단이자 자존심 회복 수단이라고 말합니다. 그리고 그들은 악성댓글을 통해 일시적으로 자신의 힘을 확인하는 것 같은, 마치 자신의 지위가 향상된 듯한 '착각' 속에 산다",1
행복하셔요~응원합니다♡,1
완전비호감역겹다,0
야 이 기자 못배워 처먹은 놈아. 저 편지는 펠릭스 곤잘레스 토레스가 88년도에 연인 레이콕한테 보낸 편지야... 니가 한 해석 달러... 어디서 번역기 돌려서 가져온 걸 해석이라고 하고 ㅠㅋㅋㅋㅋ 부끄럽지도 않냐 그래도 돈 받아먹고 하는 일이면 제대로 알고는 써야지 기자가 왜 소설을 쓰고 있냐 정신차리자!,0
지디 전역 다가오니 또 개발작하는 언론과 기레기 ㅋㅋㅋ,0
기레기 개무식해..;;,0
어쩐지 ㅋㅋ 안재현이 활동기사 뜨니까 빡도셨네. 이혼소송 끝나도 평생 저 질할할듯.,1
이런 사람 경험한 적 있음..아무리 사실을 얘기해줘도듣고 싶은 것만 듣고보고 싶은 것만 봄.나중엔 기억도 왜곡되어서 없는 말도 지어서 함.안재현이 왜 대응 안하는지 이해 됨..엮이는 것 자체가 지치고 기운 빠져서그냥 포기.. 니 맘대로 생각해라~,1
엘팬이지만 키움팬분들 승리 축하드리고 오늘 엘지는 이길 자격이 없었고 앞서고 있을때 추가점을 냈어야했는데 내지 못한게 정말 아쉽고 키움의 전력이 엘지의 전력보다 월등히 앞서고 패배를 인정합니다 그리고 심판진들은 3차전부터 공정하게 판정을 해주셨으면 하는 바램이고 솔직히 6회말 샌즈의 타구는 파울이었고 오심이었습니다 양팀모두 수고하셨고 3차전도 좋은경기 해봅시다,1
보는동안 정말 짜릿했고 멋진 승부였습니다 우리 선수들 정말로 멋집니다~!!! 그리고 또 짚고 갈건 짚자면 오늘 해설 그런 식으로 하지 마세요 키움팬들이 듣는 입장을 생각을 안 하나요? 팬 수가 적은 팀이라고 막 무시하는 건가요? 좀 말하기전에 생각 좀 하세요,1
크보 신발련드라 관중 타령하지말고 심판좀 어떻게 해봐라,0
재밌다고?? 졸라 졸전에 저질야구아님??솔직히 크보는 6개구단으로 가야한다...10개구단으로 운영도 그렇고고 못해도 5등안에들면 가을야구가니...수준이 높아질수가 없다,0
안재현 그냥 참지말고 형사고소 진행하고 참교육 시켜줘라 적당히 봐주면 더 할거야 저런 경계선 성격 장애에 허언증세 있는 사람은 끝을 보기 전 까지는 계속 저럼 ㅡㅡ,1
살을빼건 고치건 진짜 혐오스러운 쌍판이다,0
일반인이야기를 기사라고 저뚱녀살뺀걸 알아야되나?,0
배우자를 먼저 보내면 사별이라고 하고 부모를 먼저 보내면 자식을 고아라는 하는 단어들은 있어도 자식먼저 보낸 부모를 지칭하는 단어는 없다라고 들었는데 그 이유는 감히 상상도 못할 아픔때문이라고 합니다. 항상 힘내시기 바랍니다,1
아.. 너무 안타깝네요 힘내세요,1
앞 내용이 없으니깐 딸들이 이상하네요밥 먹다가 분위기 전환하려고 제부이야기 하면서 제부가 좋은사람이며 사위 복이 많다라는 뜻으로 이야기 했던 걸로 기억이 나네요방송 보면서 엄마의 마음도 이해하지만 눈치보며 엄마기분 풀어주는 딸들이 더 안쓰러웠답니다,1
딸이생각이짧네요특히 자식키우면서 그것도 늦게얻은자식키우면서 어찌 그런말이 나오나요?모르는사람이라면 그런말할수있지만카메라잔뜩켜놓고어머니복이많다고 말한것은 몹시 실례 무례입니다.,1
겪어본 사람만이 아는 고통입니다... 시간이 약이라는 말도 거짓인...시간이 흐르고 또 흘러도 가슴 답답하고 심장이 미어지는 아픔...ㅠㅠ,1
나도 우울증인데 그냥 겉으론 밝은사람인척아무상처없는사람인척 소소하게살아갈뿐임가족한테 상처받아서 마음의문을 닫은지 꽤오래전일이지만 가족들은 절대 상상도 못하겠지,1
작가야 진짜 ㅈ ㅣ럴도 가지가지다..막바지에 꼭 이딴식으로 해야했니??,0
이.ㅂㅅ 같은 드라마는 언제 끝나냐?그리고 폐지좀 하면 안되냐...10년이 넘게.드라마가 몇개나 바꿨는데 1화만 보면 무슨내용인지 다암..,0
작가 ㅅ1벨 ㅋㅋㅋㅋㅋ 금희한테 왜 그러냐.. 한준호 한테 이혼 당하고 여름이 뺏길뻔 했다가 가까스로 지키고 여름이 친아빠 상원이 만나서 이제 행복해질일만 남았는데.. 머 갑자기 뜬금없이 급성 백혈병...? 장난하냐 진짜로..,0
Kbs쓰레기 방송.이런걸 수신료받아 처먹냐?정신피해 위자료 내 놔라!,0
멍청한 인간들 또 백혈병이 뭔지 검색하고 자빠졌넼ㅋㅋㅋ 시발 왜 실검에 뜨나 했다,0
"지x하고 자빠졌네ㅂ,ㅅ년들이ㅡㅡ좀 기사화 하지마기레기 ㅂ,ㅅ들아",0
행복하게 잘 사실것 같아요. 손잡고 포옹해도 사귀는거 아니라고 하는 그런분하고 단칼에 자르신거 정말 잘 했음. 강남이 아깝.,1
두 분 행복하세요 보기 좋아요 앞으로 힘든 일도 많겠지만 지금 처럼만 서로 사랑하고 이해해 준다면 어렵지 않을 것 같아요,1
이여자 저여자 찝적대더니 운동만해서 순진한 이상화가 걸렸네,0
두마리 토끼를 잡으면 좋겠지만 악플에 상처받는거 싫어한다면 그냥 순수하게 방송안하시는게 낫지 않을까요? 방송은 커서도 본인이 하고싶다면 하겠죠,1
아니ㅡㅡ애한테 대체뭐라하는 인간들은 먼생각임? 부모따라 방송좀 나오면안되냐?보기시름보질말든가,1
딸악플달리는게 싫으면 방송노출을 안하면될듯 싶은데. . 방송나오면서 악플보다 더슬픈게 무플아닌가? 방송나오면 좋든싫든 말나오기당연하지 어찌좋은댓글만달릴줄알앗나? 아이상대로 악플보기싫으면 방송출연을 안하는게 부모로써 도와주는거같은데. 괜히 악플땜에 내새끼상처받을꺼알면 걍 평범하게살꺼같다 아이가문제가아니라 이집은 부모가문제인듯 싶고. 악플내가 본적은없지만 아이가얄미워서가아니라 엄마가 얇미워서 악플다는사람들많을듯 싶은생각도. 아이방송 노출시키면서 계속 악플경고하는기사를봐서그런가 지금은 엄마가 내눈에거슬려서 왠지.송지아는좋은데 부모들이.,1
지 새끼들 욕 먹이는것도 다 부모하기 나름인데...그걸 모르는건지 뭔지...,0
애들은 커가면서 꿈도 바뀌고 하고싶은게 많다 애 원하는거 제대로 밀어주는게 옳은일이지..항상 응원할게요,1
"전남편한테 양육비를 일부 받긴하겠지만,애들 양육하고 생활하려면 저 가족도 일정한 수입이 있어야 할텐데 지아양이 그래도 엄마보다 인기가 있고 불러주는 곳들이 있어 방송하는거 아닐까요. 그냥 좀 너그럽게 보면 좋을거 같은데..",1
신경쓰지마세요~~다들 배아파서 그래요 왜 이래라저래라하는지 모르겠네..,1
악플 신경쓰지말고 본인 소신대로 아이가 바라는데로 키우세요! 악플다는애들 대부분 부러워서 지껄이는겁니다. 개가 짖는다 생각하고 신경끄는게 정신건강에 나아요~ 아이들은 그때그때 생각도 달라지고 좋아하는것도 바뀌니깐 아이생각에 맞게 엄마가 써포트해주는게 제일 좋은것같아요 지아가 똑뿌러지고 야무져서 뭘해도 잘할듯~,1
미스터리삼촌 오늘 방송으로 보고 울었을듯. 마지막에 눈물참고 서로 바라보는데 전 오열했네요. 하나같이 너무 사랑스런 리틀이들이 좋은추억 쌓인만큼 힐링되는 프로였어요. 이모삼촌들 정말 수고하셨습니다.,1
브룩이 마지막에 눈물참은건가요?ㅠ.ㅠ애기가 눈물을 참을수있나요?ㅠ.ㅠ너무 신비로운아이에요 브룩이..,1
처음엔 그레이스의 러블리한 모습이 좋았는데 점점 브룩이의 매력에 빠졌어. 정말정말 천사야. 지난번에도 이모삼촌들 속상할까봐 혼자 밥먹고 애들보고 밥먹으라고 하고 . 맛있는 밥해줘서 고맙다고 하고. 어쩜 저리 말을 이쁘게 하지? 사랑하지 않을 수 없는 아이네.,1
방송내내 미스타리 삼촌 브룩이 하트 뽕뿅 보였어요^^ 서진 삼촌 이미지 넘 좋다 ㅎㅎ,1
누구든 저정도 뺐다면 기삿거리가 되지 않나? 홍선영씨 응원합니다. 방송보고 시작했는데 이제 4키로 빠졌네요. 여전히 배가 부르지 않으면 잠이 오질 않아 쉽지 않은데...,1
요즘 같은시대에 10키로도 작정하고 못빼는게 이상한거 아닌가 . 그리고 저런 몸매는 좀만 굶으면 빠지지 에휴 뚱뚱했다가 정상에 가까워지는게 뭐라고 차라리 저 자리에 신예 여배우를 끼워주지 완전 비호감,1
에라 이 ㄱㅈ같은ㅅㄲ!,0
송승헌씨 연기 넘 잘해요^^ 위대한쇼 응원합니다!!,1
마지막으로 갈수록 점점 재밌어진다. 남은 3회 대박나자. 송승헌 아자,1
송승헌 멋지다~,1
이소연 정도면 이쁘다는말 귀에 못박히게 들었겠지 ㅋㅋㅋㅋㅋ,1
이소연 존예,1
결과 스포하지 말라고 OOO아,1
"짠내투어 푹 빠져서 매주 챙겨보고 있습니다. 6년 전에 말레이시아 교환학생을 다녀온 적이 있었는데, 제가 그당시 갔던 곳들과 먹었던 음식들이 모두 나와서 정말 감회가 새로웠고 재미있게 봤습니다. 그때 그시절이 그립네요 ㅎㅎ 행복한 추억을 돌이켜볼 수 있는 선물을 해주셔서 감사합니다 ㅎㅎ 앞으로도 재밌고 유익한 방송 계속 이어나가 주세요^^",1
이용진최고양,1
믿고보는 한혜진~^^,1
짠내투어도 재미없고 한혜진도 재미없고 식상하고,1
한혜진이 왜 자주 나오지 재미도 없고 예쁜척만,1
악플 ㅅㄲ들은 멋도모르고 나불대기는 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 하루빨리 니들이잡혀가길 바랄뿐이다 ㅋㅋㅋㅋ,0
제목 뭠미? 세경아 넘 예쁘다!!,1
사랑해❤❤,1
세경님 차기작 또래랑 현대멜로 꼭해주세요 빨리오세요,1
매일 엠넷은 나 모르쇠 하구 자빠졌지,1
제니는 진짜 이쁘기도 하고 귀엽기도 하고 매력이 여러가지야 ㅠㅠ,1
"제니, 나의 아름다운 소녀",1
주의 쿵쾅주의보!! 쿵쾅이들 또 화나요 테러중,0
트퀴벌레들 출현.,0
조국 차기 대통령님이야 말로 이 땅에 빛입니다. 보수 틀딱 토착왜구를 한방에 죽일수 있어요^^♥️,0
지용아 맨날욕하면서 버티느라 애썻다 공인이 다 보이는데서 그렇게입에걸레를 물고다니고 승리랑 탑이랑 대성이까지 모여서 마약파티함해야지 양사장한테 주최문의해봐라 여자들도 많이부르고 화끈하게 해야지 항상 하던대로,0
거 ㅅㅂ 지디가 군생활 개판으로 했건말건 가준것만으러도 감사히 생각할것이지 말들이 많냐 니들은 군생활 제대로 했냐?? 능력도 없는 하루살이같은것들 ㅉㅉ,0
지용아~^^ 건강하게 전역해.,1
그래 나와서 활동하면 빨아줄 빠순이는 많으니까 니 하고싶은데로 살아라,1
범죄자 집단 넌 제대하고 나와도 존나 까일일만 나남음 지디야,1
지디 응원합니다! 시간이 지나면 좋아질거라 믿어요,1
이새기 승리아니면 부적합판정으로 나오려고 그림그리고 잇엇는데 ㅋㅋ승리가 터져서 ㅋㅋㅋ군생활 완전 개판으로 초관심병사엿다며 ㅋㅋ전부열외받고,0
그동안과 다른 시간속에서 또다른 영감을 받았을거라 생각해 이후에 나올 음악 기대할께 누가 머라고 까대도 너의 음악은 못건드려,1
기자들 때메요즘 연예가 소식이 개판된건 사실이지 ㅆㅃ~~!!!!!! 기사올리기전에 더자세히 분석하고해석해서올리던지 이건무슨 기사제목부터가 날조 욕드세요~~~라고 써져있잖아 ㅋㅋㅋㅋㅋㅋ이러니 기자들 온갖 기획사마다의 니들이욕먹는거야~~~~날조 기사맘대로쓰다가 기사삭제된것도 몇개나되냐????? ㅋㅋㅋㅋㅋㅋ,0
야 너 기어나오지마라 어서 나오려고 미틴 뇨마,0
ㅋㅋㅋㅋ 약쟁이 ㅈㄹ한다 니몫까지 승리한테 터진거지 승리가저정도면 니ㅅH낀 얼마나더하겠냐 그나저나 군생활도 ㅆㄹㄱ처럼했다지?,0
마약 도박 성접대 성추행 이건 뭐 아이돌인지 범죄집단인지 어차피 방송엔 얼굴디밀긴 어려울테고 니들끼리 공연이나하면서 광신도 빠순이들 돈이나 뜯어먹고 살아라,0
지디 나올때되니 또시작들이네..기레기들부터짜증나..어디에 승리언급이있냐.,0
지디는 워낙 개성이 강해서 전역해도 인기 다시 끌듯.,1
꼴깝을 안하면 죽는 병 걸린것도 아닌데 군대도 못 고친 저 허세,0
이새기 휴가 막쓴건 벌써 잊었냐 개돼지들아,0
기자가 기튜브 하네 제목 어그로 쓰레기네,0
"지디라는 두글자만 들어도 반갑고 좋다, 멋진 아티스트 스웨그 아이돌",1
쟤네 다 루저들인데 뭔사진 올리던 노관심~ 약쟁이에 음주운전에 성매매에 탈세는 덤,1
지드래곤 중1병 걸렸나...;;,1
군생활 개판쳐놓고 허세는... 전역해서 요상한 발음으로 똥폼 그만잡아라. 그럴 자격도 없다,1
똑같은놈이지 그나물이 그밥 약쟁이들,1
"와 쉴드 쳐주는거봐 ㅋㅋㅋㅋㅋ 이러니 개, 돼지 소리 듣지 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ",0
이런게 기자라고ㅡㅡ 책임감좀가져라 이런식으로기사써대면당사자들은 누구든 피눈물흘린다 이러한과정에서공항장애가걸리기도하며안좋은선택들을하기도하지기레기들이 무슨짓을하는짓도모르고 그저쉽지 제재할방법도없는법도ㅂㅅ같고,1
여기 돌대가리 기자 추가요~~,0
기자 좀 더럽네 ㅋㅋㅋㅋㅋㅋ 날조하네????재수없게???승리의 달콤한맛???? 어그로끄는 기사오지게도 하네그래서 요즘 연예가가 ㅂㅅ된거야 ㅋㅋㅋ기자들 날조때메 ㅅㅂ!!!그냥 ㅅㅂ 욕먹일려고 온갖수단다부리네 기자들이 돌았다 ㅋㅋㅋㅋ 기자들도 조사받았으면좋긋네,0
미저리 ㅅ ㅣ ㄲㅣ들,0
폭망 아티스트 빠순이들 ㅂㅈ났네그래서 여기다 ㅂㄱ하시고,0
"뺑끼써서 병원에있다 전역한 그 지디?ㅋㅋㅋㅋ 범죄자 그룹리더답네. 풉 ..무슨 범죄자들 영화찍나?각분야 좃문가들만 모아놓은 그룹리던게 자랑이냐? 약쟁이, 성매매, 종합선물셋트.. 태양만 피보네ㅋㅋ 태양도 까면 머 나올까?",0
댓글에서 왜케 쉰내나나했더니 상폐녀모임이네 ㄷ,0
염병하네 범죄자 옹호하기는 ㅡ ㅡ 역시 끼리끼리,1
어떤 몰락아티스트빠순이길레 디스패치기사만믿고 억지부린데 독도를 일본땅이라 우기는쪽빠리 집구석 이라서?,0
외곡된기사만믿는 머리가ㄸ 구멍에 붙어서,0
"승리의 달콤함, 나는 너를 사랑한다... 이세이 이게 말이야 글이야. 도대체 아직까지 정신못차리고 이러고잇네.ㅎㅎㅎ 승리 지디 탑 대성 너네들 대중들이 시간지나면 다 잊어버리는 개대지로 생각하고잇겟지..아 요세이들봐라, 징그럽게 싫어진다..ㅎㅎㅎ 일본에서 돈좀 벌엇다고 눈ㄲ ㅏ릐에 보이는게 없지.... 아치들이 돈좀벌면 월래 눈에 보이는게 없어진다..그래서 졸부라고하지.. 쫄때기 시키들아 너네들은 돌아오지마라...안봐도 되고 보기도 싫다.... ㅎㅎㅎㅎ",0
이 뽕쟁이섹히 또 나오면 죽여버린다,0
꼴물견들 ~~~~~~~~~~~,0
에이 지랄 기레기야,0
지디 머리체는 왜 잡으심 10년째 너같은 밥충이한테까이는데 살인 자마냥,1
빙신 지랄하고 있네,0
에휴 머리 뭐만 가득찼어 기자년이란게,0
약쟁이 관종,1
뽕탑 물뽕승리 살인대성 대마드래곤 그냥태양 돌아온다~,0
잠잠하다 했더니 제대할때 되닌깐 기레기 또 나대기 시작하네 그만 괴롭혀라 토나온다 기레기ㅅㄲ야,0
아직도 빅뱅을 빠는 뇌없는 벌레뇬들이 있다는것이 놀라울 따름이다. ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
김치들 부들부들 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
아오~~토 나올라 그런다,1
고만나와,1
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ㅈㄴ 빻았네 ㅋㅋㅋ,0
실제 거리에 저보다 못생긴 뚱녀 동네 많이 다니는데 돼지 냄새 남 저분은 미인이기나 하지...,0
마녀같네,1
마녀같다 어째살을빼도 그모양이야 더 보기싫다,1
마녀할멈같아. 머리 좀 어떻게 해봐 진심,1
"댓글 3,40대 여자 70프롴ㅋㅋㅋ 어리고 이쁜 10대 애들은 악플 안다는데 연애도 못하는 못된심보 틀딱들은 열폭",0
턱 뭐고 시바... 빗살무니 토기가,0
스모선수가 턱돌이 된건가?? 초고도비만에서 그냥 고도비만된걸 무슨 정상인 될라면 최소 40키로는 빼야돼 요요도 감안해야지 유지가 더 힘들다 ㅆ ㅣㅂ 들은 10키로 빼는것도 쉽고 빼도 돼지야,0
조만간 앨범내실듯... 근데뭐하시는분인지 디게궁금하네요.. 새벽에도 운동 엄청하신다고 sns올리시던데.. 직장인이라면 불가능한 일인데.... 부럽네요. 저도 돈많고 인기많은 동생이 있었으면ㅠㅠㅠㅠ,1
빼나 안빼나 존나 징그럽다,0
너무예쁘다 이목구비완전뚜렷 자연미인♥♥♥♥♥라푼젤같아용,1
일반인이 왜 연예란에 있니??? 더러운 면상 치워라 기레기야.,1
얘는 왜 살찐것도 빠진것도 이렇게 과장스럽냐? 번쩍이는얼굴.라면땅 머리.찌를듯한 눈썹과 길고긴 속눈썹.보는 내내 불편하고 역겨움,1
?? 한달수익 10억인데한달에 6편정도 찍으니까10억중 600만원이면 좀 너무한데,1
얘네팀원 많지 않음 ㅋㅋㅋㅋㅋ 한달 10억 수입이면 JTBC 명목으로 가져가는거지 장성규한테 아무리 못줘도 1억씩을 줘야할정도로 원맨쇼인데 말이 안되는거임.,1
컨텐츠짜주고 일정조율해주고 다해준다지만10억을 벌면서 100만원주는건 무슨 똥배짱이지장성규로 인해 구독자 300만 가까이된거고 그렇게 벌게된건데 ... 연출자고 편집자고 월급주고 다해도 한참남을건데 그걸 다 사장새끼가 쳐먹는거네 엿같다 진짜,1
근데 생각해봐.. 혼자 했으면 그정도로 재밌게 나올까..장소랑 섭외도 다 해놓고 허가도 다 받고 대본도 써주고 찍고 편집하고 그냥 방송처럼 무대에 올라가서 놀기만 하면 되게 다 세팅해놓는건데 직접 하는거랑 비교할순없지,1
유튜브 한달10억이면 구독자들이 광고를 다보거나 프리미엄 가입했나보네 그런데 워크맨 편집자들이 일되게 잘함 ㅋㅋㅋ,1
"방송국이 기획 편집 연출 장소섭외 다했고 저때만해도 장성규는 프리선언한 아나운서일 뿐이었으니까.ㅋㅋ 그리고 장성규 워크맨 하기 전에도 유튜브 컨테츠 1,1년 전에 했었는데 이 정도 반응 아니었음.이미 어느정도 구독자가 확보된 jtbc 플랫폼에 와썹맨 편집자들 데려와서 만든게 워크맨인데 반응 폭발해서 따로 나올 수 있었던거고 물론 장성규 드립,개그,스무스한 진행력,친근감,호감도도 큰몫을 했지. 재계약협상 할 때 어련히 출연료 올려줄듯.ㅋㅋ워크맨으로 인기와 더불어 부수적인 이익은 갖게 됐으니 손해는 아니지.",1
연느 is 뭔들..♥ 하객들이 부러운 건 처음ㅠㅠ연느를 가까이서 보고..좋겠다! 행복하게 사세요 두 분~,1
결혼식 주인공인 신부보다 더 화제가 되는 연느... 연느라서 화제가 되는건 어쩔수 없겠지만 오늘같은 날은 하객보다 신부가 더 돋보이게 이런 기사는 좀 참아줘야 되는거 아니냐. 으휴,1
악플러들아 이제 만족하냐? 기레기야 천벌 받을거다,0
악플러들도 정말 문제지만 정말로 정작 심각한건 언론이다. 어제도 비공개로 장례를 하겠다는 유족의 뜻은 저버리고 단독으로 빈소를 알리고 ㅉㅉ 별 거 없거나 별문제 될 거 없는데도 남의 인스타 퍼와서 제목을 자극적으로 하는 거와 기사화 시키는 거 정말 문제이다. 특히 여자연예인에게는 더 그렇게 하는 것 같다. 하긴 연예계는 기자는 아예 없고 전부 기x기들 뿐이니 뭘 바라겠냐만은....ㅉ,1
제발 싫으면 보지 마세요 ㅠㅠ 왜 악풀 달아서 . 아까운 꽃 피지도 못한체 별이되어야만 하나요 ㅠㅠ,1
진짜.. 아직도 충격이다....ㅠㅠ 설리 악플의 밤에 나와서 악플에 대해서나 노브라에 대해서나 이것저것 말하는거 보면서 되게 생각이 멋지다고 생각했고 강해보여서 부럽다고 생각했는데 지금 생각해보면 강했던게 아니라 애써 강한 척 했던것일지도.... 얼마나 힘들었으면 그랬을까 하는 생각에 너무 안타깝다.. 행복하세요 설리..ㅜㅜㅜ 거기서는 슬퍼하지말고 애써 강한 척 하지 않아도 되는 그런 삶이였으면 좋겠네... 고인의 명복을 빕니다,1
죽고나니 악플이없고 다 걱정하는 댓글밖에 없구나....,1
무엇보다 악플러들도 처벌을 받아야 한다.. 찾아서 처벌을 받게 그리고 실명제를 다시 해야 한다.. 악플러도 처벌 받을수 있게 법 개선이 필요하다. 연예인들 멘탈 약해지면 안되니.. 멘탈도 강하게 키우고~,1
선택은 자기가 한건데 겁나 뭐라하네,0
댓이나 닫고 씨부려라,0
이제와서 선인군자인척 하는 애들 졸라 역겹네,0
마무리 훈련 = 10달간 돈 주니까 못놀게 굴리는거. 프로라면 시즌 끝나고 알아서 몸 만들어야지. 그나마 요즘은 조금 나아진게 마무리 훈련을 11월 초까지 하거나(김성근 말고도 다들 어기던 규정) 교묘한 규정으로 스프링캠프 15일 먼저 시작하는건 없어졌다.,1
편파해설에 그렇게 크보에서도 밀어줬는데 심판도 쥐심판이고 그런데도 탈락하는 류시는 덕장인가 돌대가리 감독인가... 주둥이만 털줄알지 감독은커녕 용더칸처럼 고등코치수준벆에 안되는것들이 용더캉느 감독이 수염안기르니 지도 깍어야했고 화나가더니 아주 과관이더라 무슨 노숙자도 아니고.. 화나는 용더칸부터 짤나라 재수없는 용더칸,0
"마무리 운동 겸 해서 두산이랑 실전 경기 뛰어 볼 순 없나..? 두산 입장에서는 lg 선발이랑 붙어 보면 확실히 한국 시리즈 대비 될꺼고, lg도 내년에 쓸 불펜이나 야수 자원 시험 해볼 수도 있고.. 그리고 무료 혹은 일정 수준 입장료 받는다 하면 팬들 입장에서 보러가면 좋을 꺼 같은데..",1
웃는 사진이 너무 이뻐서 마음이 너무 아프다..,1
진리야 웃기지 이 세상은 널 잃고 나서야 널 이렇게 응원할 수 있게 되었어 지켜주지 못해서 미안해 너만의 진리를 고집하던 어린 너는 결국 별이 되었지만 고마워 진리야 네가 이 시대를 살아가는 여성들에게 어떤 의미였는지 너는 알까? 절대 잊지 않을게 비록 지금은 너라는 작은 진리조차 이해할 수 없는 좁고 좁은 사회지만 바뀌어야 할 것들에 바뀌는 세상이 올 수 있을 거라고 믿어 그리고 그 시작에는 분명히 내가 서있던 거야 잘 가 진리야 그곳에서는 꼭 행복해야 돼,1
주접싸고 있네 야 설리는 죽었는데 도대체 누구한테 지껄이는거야? 정신병자들 존나 많네,0
누구긴 누구야 느그 애비지 트위터 @y54vbu5f 흉자인 거 티내고 싶어하는 사회성 재기 공감능력 재기 흉자,0
언론이 적폐지...기레기들,0
어린나이에 삼가고인의 명복을 빕니다,1
